pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
Kepler-862 b,Kepler-862,1,1,3.14866453,0.039,2.21,5.52,2.81,0.0,5333.0,0.88,0.04,1039.03,Super-Earth,Super-Earth
Kepler-863 b,Kepler-863,1,1,15.59461874,0.122,2.9,8.75,1.97,0.0,5678.0,0.96,-0.03,1499.66,Neptune-like,Neptune-like
Kepler-864 b,Kepler-864,1,1,5.83376092,0.0687,2.4,6.35,2.52,0.0,5754.0,1.0,0.04,2022.9,Neptune-like,Neptune-like
Kepler-865 b,Kepler-865,1,1,14.16399294,0.1057,2.49,6.76,2.41,0.0,5570.0,0.93,-0.01,586.137,Neptune-like,Neptune-like
Kepler-866 b,Kepler-866,1,1,2.61703254,0.0331,1.63,3.29,4.17,0.0,4751.0,0.75,-0.07,646.667,Super-Earth,Super-Earth
Kepler-867 b,Kepler-867,1,1,150.242127,0.5375,4.64,19.4,1.07,0.0,5541.0,0.92,-0.02,1195.54,Neptune-like,Neptune-like
Kepler-868 b,Kepler-868,1,1,5.03251791,0.0575,2.05,4.86,3.1,0.0,5614.0,0.93,-0.08,1593.13,Super-Earth,Super-Earth
Kepler-869 b,Kepler-869,1,1,40.4287755,0.2244,3.61,12.7,1.48,0.0,5664.0,0.97,0.02,939.455,Neptune-like,Neptune-like
Kepler-87 b,Kepler-87,1,2,114.73635,0.481,13.49,324.2,0.729,0.036,5600.0,1.1,-0.17,1232.9,Gas giant,Gas giant
Kepler-87 c,Kepler-87,1,2,191.2318,0.676,6.14,6.4,0.152,0.039,5600.0,1.1,-0.17,1232.9,Neptune-like,Neptune-like
Kepler-870 b,Kepler-870,1,1,21.3587621,0.1539,2.78,8.15,2.08,0.0,5857.0,1.01,-0.01,1259.46,Neptune-like,Neptune-like
Kepler-871 b,Kepler-871,1,1,22.0459018,0.1572,3.74,13.5,1.42,0.0,5993.0,1.11,0.09,1976.05,Neptune-like,Neptune-like
